Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C15, C17, C18, C19, C2, C20, C21, C5, C6, C7, C8, C9",C0402,15,100nF,C1525
"C11, C12",C0402,2,30pF,C1570
"C14, C16, C22",C0805,3,10uF,C1713
"C3, C4",C0402,2,1uF,C52923
"D1, D2",SOD-123_L2.7-W1.6-LS3.7-RD-1,2,B5819W_C8598,C8598
LCD1,LCD-TH_L56.0-W35.0-P2.54_HS180S10B,1,HS180S10B,C5329585
"LED1, LED2",LED-SMD_L1.6-W0.8-R-RD,2,KT-0603R,C2286
"LED3, LED4, LED5, LED6",LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1,4,WS2812C,C114587
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002,C8545
"R1, R2",R0402,2,27.4R,C31439
R10,R0402,1,100,C25076
R11,R0603,1,68,C27592
"R12, R6, R7",R0402,3,10k,C25744
R13,R0402,1,470,C25117
"R3, R4",R0402,2,5.1k,C25905
"R5, R8",R0402,2,1k,C11702
R9,R0603,1,1.5k,C22843
"SW1, SW2",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPABE010,C115360
"SW3, SW4, SW5, SW6",SW-TH_EC11E15244G1,4,EC11E15244G1,C370970
U1,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U2,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q16JVUXIQ,C2843335
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,NCP1117ST33T3G,C26537
U4,SOT-25-5_L3.0-W1.6-P0.95-LS2.8-BL,1,74AHCT1G125W5-7,C842287
U5,FPC-SMD_10P-P0.50_05A20L10P,1,05A20L10P,C5362154
USBC1,USB-C-SMD_MC-311D,1,MC-311D,C136423
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz,C9002
